x0,y0,a,b,phi,cluID,frameID
-1.0,-1.0,-1.0,-1.0,-1.0,-1,0
-1.0,-1.0,-1.0,-1.0,-1.0,-1,1
-1.0,-1.0,-1.0,-1.0,-1.0,-1,2
-1.0,-1.0,-1.0,-1.0,-1.0,-1,3
-1.0,-1.0,-1.0,-1.0,-1.0,-1,4
-1.0,-1.0,-1.0,-1.0,-1.0,-1,5
-1.0,-1.0,-1.0,-1.0,-1.0,-1,6
-1.0,-1.0,-1.0,-1.0,-1.0,-1,7
-1.0,-1.0,-1.0,-1.0,-1.0,-1,8
-1.0,-1.0,-1.0,-1.0,-1.0,-1,9
-1.0,-1.0,-1.0,-1.0,-1.0,-1,10
-1.0,-1.0,-1.0,-1.0,-1.0,-1,11
-1.0,-1.0,-1.0,-1.0,-1.0,-1,12
-1.0,-1.0,-1.0,-1.0,-1.0,-1,13
-1.0,-1.0,-1.0,-1.0,-1.0,-1,14
-1.0,-1.0,-1.0,-1.0,-1.0,-1,15
-1.0,-1.0,-1.0,-1.0,-1.0,-1,16
118.107572875,36.545585375,0.078600087957,0.0333511959982,0.118981893023,0,17
-1.0,-1.0,-1.0,-1.0,-1.0,-1,18
-1.0,-1.0,-1.0,-1.0,-1.0,-1,19
-1.0,-1.0,-1.0,-1.0,-1.0,-1,20
-1.0,-1.0,-1.0,-1.0,-1.0,-1,21
-1.0,-1.0,-1.0,-1.0,-1.0,-1,22
-1.0,-1.0,-1.0,-1.0,-1.0,-1,23
-1.0,-1.0,-1.0,-1.0,-1.0,-1,24
-1.0,-1.0,-1.0,-1.0,-1.0,-1,25
-1.0,-1.0,-1.0,-1.0,-1.0,-1,26
-1.0,-1.0,-1.0,-1.0,-1.0,-1,27
-1.0,-1.0,-1.0,-1.0,-1.0,-1,28
-1.0,-1.0,-1.0,-1.0,-1.0,-1,29
-1.0,-1.0,-1.0,-1.0,-1.0,-1,30
-1.0,-1.0,-1.0,-1.0,-1.0,-1,31
-1.0,-1.0,-1.0,-1.0,-1.0,-1,32
-1.0,-1.0,-1.0,-1.0,-1.0,-1,33
-1.0,-1.0,-1.0,-1.0,-1.0,-1,34
118.471537008,36.15487395,0.0779449304003,0.0538990583894,6.2515161425,0,36
-1.0,-1.0,-1.0,-1.0,-1.0,-1,38
-1.0,-1.0,-1.0,-1.0,-1.0,-1,39
-1.0,-1.0,-1.0,-1.0,-1.0,-1,40
-1.0,-1.0,-1.0,-1.0,-1.0,-1,41
-1.0,-1.0,-1.0,-1.0,-1.0,-1,42
-1.0,-1.0,-1.0,-1.0,-1.0,-1,43
-1.0,-1.0,-1.0,-1.0,-1.0,-1,44
118.1948632,35.8919008714,0.0863067502963,0.0415135171097,0.294816904536,0,47
118.210079713,35.692296617,0.072698697275,0.0435467109822,6.03088826633,1,47
118.24779722,35.7115436829,0.108575120685,0.0713579959542,6.16514623416,0,48
118.219267593,35.8494556337,0.114554473294,0.0433472741725,6.02677760276,1,48
118.300992125,35.7841580748,0.237294675106,0.110687307574,5.21505454626,0,49
118.355351588,35.7563977453,0.232255228788,0.087508486546,5.1647210732,0,50
118.421848509,35.776011715,0.227815334435,0.112027334695,5.12532099076,0,51
118.298200917,36.0096483472,0.0577394719198,0.0443623035848,6.0530582655,1,51
118.513328866,35.7172150535,0.157410354883,0.0997055837841,5.65824381848,0,52
118.574792888,35.5349921348,0.0763233372689,0.0532430330697,5.41322889931,1,52
118.432231123,35.9029119935,0.116195665845,0.0436112398025,6.18483950309,2,52
118.591367266,35.6930708847,0.213820535036,0.105752883972,5.30495854278,0,53
118.651602715,35.7644383039,0.182068881829,0.134129638303,5.37659142157,0,54
118.530162025,35.9244251519,0.0605749131696,0.0452200536765,4.42102359964,1,54
118.70734565,35.5214674854,0.123116624239,0.0744182393409,5.40810848463,2,54
118.729495598,35.7799131951,0.126830585065,0.0945761624566,5.57985499382,0,55
118.732677364,35.5573462004,0.100801082993,0.0742582268639,5.53130254528,1,55
118.796553988,35.5600074253,0.153314656959,0.11056269939,5.20380837603,0,56
118.615502056,36.0465629167,0.0649285153114,0.0414424652357,0.095534671122,1,56
118.811673387,35.7823359867,0.0794711908755,0.0449598669364,5.88369946043,2,56
118.849321034,35.5818135086,0.186183117059,0.0981515543058,4.99104440068,0,57
118.914787402,35.7545386522,0.0983262806453,0.049143849506,5.97942557291,1,57
118.891355889,35.4112561296,0.0749602725502,0.0360622905058,0.154533294616,2,57
118.916939317,35.5388263945,0.205476510042,0.101485283855,4.94478427414,0,58
118.900132383,35.8195762021,0.0775764189024,0.0671410376183,0.00855697115412,1,58
118.826235343,35.7214222571,0.0844766094049,0.0390368989651,0.0818997592795,2,58
118.996412909,35.4531848145,0.0763637663773,0.0710738690365,4.60356379929,0,59
118.890046559,35.881897172,0.0808726433869,0.0480569303063,6.20684046059,1,59
118.937375494,35.6448242593,0.0982357892334,0.0528221161333,6.18960994005,2,59
118.981145621,35.865990947,0.0724264152171,0.0437662999796,0.0584409014236,0,60
119.044175101,35.478229037,0.0956849467248,0.0730033598264,6.09572821601,1,60
119.099968072,35.5289769406,0.116468651878,0.0951953899516,5.87901220314,0,61
119.12174159,35.6050369949,0.101298761558,0.0778173376396,0.655253307625,0,62
119.205772227,35.8161287727,0.076031093728,0.0483772807684,6.23759567442,1,62
119.361233025,35.6878156164,0.0990634653238,0.0553491034645,0.331229540132,0,64
119.281022667,35.4879216667,0.0659856397642,0.0523977792839,6.1871798989,1,64
119.315201548,35.5032600481,0.0928969035164,0.0357308049403,6.26908627092,0,65
119.477402877,35.7142449077,0.10813524715,0.0398953970514,6.2729798904,1,65
119.523728057,35.7391974368,0.116746559741,0.0623518047116,6.21843831799,0,66
119.346989056,35.5176023,0.0877637782667,0.0442775633703,6.18117248751,1,66
119.538988278,35.7829056224,0.180367442421,0.0782010431829,0.107050837318,0,67
119.626315211,35.8032708521,0.0981975518306,0.0701435089922,0.0185465115874,0,68
119.807993753,35.8917518202,0.101908903268,0.0423187450914,0.19980967321,0,70
119.81395311,35.8794903382,0.081799349388,0.0591665118905,0.204381120822,0,71
-1.0,-1.0,-1.0,-1.0,-1.0,-1,73
-1.0,-1.0,-1.0,-1.0,-1.0,-1,74
-1.0,-1.0,-1.0,-1.0,-1.0,-1,75
-1.0,-1.0,-1.0,-1.0,-1.0,-1,76
-1.0,-1.0,-1.0,-1.0,-1.0,-1,77
-1.0,-1.0,-1.0,-1.0,-1.0,-1,78
-1.0,-1.0,-1.0,-1.0,-1.0,-1,79
-1.0,-1.0,-1.0,-1.0,-1.0,-1,80
-1.0,-1.0,-1.0,-1.0,-1.0,-1,81
119.044789129,35.5406021286,0.0907253683012,0.0429345841263,6.26827278145,0,86
119.354970099,35.6498812231,0.0819570528306,0.0644321977767,0.303306257107,0,87
119.102371425,35.5556652222,0.0959624992035,0.0675641171023,0.274963234589,1,87
119.135424313,35.5801944125,0.0768113651594,0.0466472046596,0.47730630353,0,88
119.381409406,35.6629189694,0.120830583444,0.065155211361,0.0512187991302,1,88
119.421598346,35.6988387871,0.102378106703,0.0506706372329,0.381676432196,0,89
119.486643904,35.7181511609,0.134623221312,0.0681183245629,0.31074965606,0,90
119.557600932,35.7482927045,0.0860980622909,0.0525282952287,0.429832940227,0,91
119.6025605,35.7932568333,0.113272274013,0.0442779135078,0.511246221039,0,92
119.740740094,35.8325365283,0.0783403000441,0.0421598443112,0.250738998356,0,95
